City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Saint-Gaudens,FR,43.0833,0.6667,56.01,94,100,2.62,overcast clouds,2022-06-28 03:50:01
1,Nang Rong,TH,14.6377,102.7914,91.29,50,32,7.67,scattered clouds,2022-06-28 03:50:02
2,Busselton,AU,-33.65,115.3333,59.58,55,87,8.28,overcast clouds,2022-06-28 03:50:03
3,High Level,CA,58.5169,-117.136,64.51,48,20,6.91,few clouds,2022-06-28 03:45:03
4,Robat Karim,IR,35.4846,51.0829,89.46,23,0,13.8,clear sky,2022-06-28 03:50:04
5,Kabakovo,RU,54.5369,56.1517,53.89,71,75,15.66,broken clouds,2022-06-28 03:50:04
6,Lompoc,US,34.6391,-120.4579,71.78,91,0,10.36,mist,2022-06-28 03:45:55
7,Leningradskiy,RU,69.3833,178.4167,44.65,67,28,14.25,scattered clouds,2022-06-28 03:50:05
8,Narsaq,GL,60.9167,-46.05,45.64,72,100,2.46,overcast clouds,2022-06-28 03:50:06
9,Arraial Do Cabo,BR,-22.9661,-42.0278,66.47,72,13,16.28,few clouds,2022-06-28 03:48:44
10,Ayagoz,KZ,47.9714,80.4392,71.44,31,3,9.46,clear sky,2022-06-28 03:50:07
11,Severo-Kurilsk,RU,50.6789,156.125,46.35,97,100,13.62,light rain,2022-06-28 03:50:07
12,Grand Gaube,MU,-20.0064,57.6608,70.2,71,73,1.99,broken clouds,2022-06-28 03:50:08
13,Eagle Pass,US,28.7091,-100.4995,88.65,68,60,17.09,broken clouds,2022-06-28 03:47:59
14,Mataura,NZ,-46.1927,168.8643,46.47,80,32,1.9,scattered clouds,2022-06-28 03:50:08
15,Hilo,US,19.7297,-155.09,80.33,69,20,6.91,few clouds,2022-06-28 03:48:05
16,Aginskoye,RU,51.1,114.53,85.66,30,4,4.52,clear sky,2022-06-28 03:50:09
17,Avarua,CK,-21.2078,-159.775,75.25,94,75,18.41,light rain,2022-06-28 03:50:09
18,Saldanha,ZA,-33.0117,17.9442,50.05,56,0,9.66,clear sky,2022-06-28 03:50:10
19,Butaritari,KI,3.0707,172.7902,82.04,78,89,11.07,light rain,2022-06-28 03:50:10
20,Mana,GF,5.6592,-53.7767,75.31,93,100,7.27,overcast clouds,2022-06-28 03:50:11
21,Hithadhoo,MV,-0.6,73.0833,83.35,71,77,7.18,broken clouds,2022-06-28 03:45:14
22,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,55,4.0,broken clouds,2022-06-28 03:50:11
23,Mehamn,NO,71.0357,27.8492,66.15,59,27,19.57,scattered clouds,2022-06-28 03:50:12
24,Krasnoselkup,RU,65.7,82.4667,60.85,76,98,13.06,overcast clouds,2022-06-28 03:50:12
25,Port Lincoln,AU,-34.7333,135.8667,60.39,55,1,16.2,clear sky,2022-06-28 03:50:12
26,Kloulklubed,PW,7.0419,134.2556,81.46,77,100,9.26,overcast clouds,2022-06-28 03:50:13
