City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Gamba,GA,-2.65,10.0,69.1,95,95,5.1,overcast clouds,2022-06-28 03:57:12
1,Kavaratti,IN,10.5669,72.642,81.95,80,100,21.14,overcast clouds,2022-06-28 03:53:20
2,Viedma,AR,-40.8135,-62.9967,45.59,52,86,3.94,overcast clouds,2022-06-28 03:57:13
3,Vaini,TO,-21.2,-175.2,78.96,69,20,10.36,few clouds,2022-06-28 03:50:54
4,Puerto Escondido,MX,15.85,-97.0667,79.83,82,51,3.74,broken clouds,2022-06-28 03:50:19
5,Punta Arenas,CL,-53.15,-70.9167,32.11,80,0,6.91,clear sky,2022-06-28 03:47:24
6,Acapulco,MX,16.8634,-99.8901,80.42,83,100,9.22,overcast clouds,2022-06-28 03:48:12
7,Fortuna,US,40.5982,-124.1573,57.92,85,22,4.0,few clouds,2022-06-28 03:50:44
8,Jamestown,US,42.097,-79.2353,62.19,67,100,4.61,overcast clouds,2022-06-28 03:50:32
9,Atuona,PF,-9.8,-139.0333,77.67,79,19,18.14,light rain,2022-06-28 03:50:22
10,Lorengau,PG,-2.0226,147.2712,85.48,65,38,9.91,scattered clouds,2022-06-28 03:57:14
11,Bluff,NZ,-46.6,168.3333,46.8,67,1,7.05,clear sky,2022-06-28 03:50:28
12,Khandyga,RU,62.6667,135.6,72.93,75,95,8.84,light rain,2022-06-28 03:51:52
13,Hobart,AU,-42.8794,147.3294,58.26,68,75,6.91,light rain,2022-06-28 03:45:28
14,Yar-Sale,RU,66.8333,70.8333,52.77,54,100,28.45,overcast clouds,2022-06-28 03:52:49
15,Souillac,MU,-20.5167,57.5167,70.18,60,40,17.27,scattered clouds,2022-06-28 03:50:59
16,Bandundu,CD,-3.3167,17.3667,72.21,56,46,2.93,scattered clouds,2022-06-28 03:57:15
17,Astoria,US,46.1879,-123.8313,58.93,85,18,5.99,few clouds,2022-06-28 03:55:46
18,Rikitea,PF,-23.1203,-134.9692,73.56,73,15,8.25,few clouds,2022-06-28 03:50:25
19,Georgetown,MY,5.4112,100.3354,87.75,75,20,9.22,few clouds,2022-06-28 03:49:44
20,Dingle,PH,10.9995,122.6711,84.65,75,100,12.06,heavy intensity rain,2022-06-28 03:50:55
21,Buala,SB,-8.145,159.5921,82.35,74,83,5.59,light rain,2022-06-28 03:57:16
22,Albany,US,42.6001,-73.9662,63.01,77,1,6.42,clear sky,2022-06-28 03:46:54
23,Yellowknife,CA,62.456,-114.3525,61.32,44,20,9.22,few clouds,2022-06-28 03:51:32
24,Qaanaaq,GL,77.484,-69.3632,42.01,72,17,2.62,few clouds,2022-06-28 03:50:36
25,Bambanglipuro,ID,-7.95,110.2833,82.51,57,90,12.35,overcast clouds,2022-06-28 03:50:58
26,New Norfolk,AU,-42.7826,147.0587,58.91,76,100,5.99,moderate rain,2022-06-28 03:50:51
27,East London,ZA,-33.0153,27.9116,56.07,42,0,5.86,clear sky,2022-06-28 03:50:22
28,Bairiki,KI,1.3292,172.9752,84.2,79,75,11.5,light rain,2022-06-28 03:51:50
29,Willemstad,CW,12.1084,-68.9335,80.51,83,20,13.8,few clouds,2022-06-28 03:57:17
